0
""
"Bijelic v. Montenegro and Serbia, no. 11890/05, 28 April 2009"
"Armoniene v. Lithuania, no. 36919/02, 25 November 2008"
"Ahtinen v. Finland, no. 48907/99, 23 September 2008"
"Carbonara and Ventura v. Italy (just satisfaction), no 24638/94, § 36, 11 December 2003"
"Kamvyssis c. Greece, no 2735/08, 22 April 2010"
"Boultif v. Switzerland, no. 54273/00, § 46, ECHR 2001-IX"
"Stec and Others v. the United Kingdom (dec.) [GC], nos. 65731/01 and 65900/01, ECHR 2005-X"
"Johnston and Others v. Ireland, 18 December 1986, § 54, Series A no. 112"
"Rashid v. Bulgaria (dec.), no. 47905/99, 13 October 2005"
"Dlugolecki v. Poland, no. 23806/03, § 47, 24 February 2009"
"Guliyev v. Russia, no. 24650/02, 19 June 2008"
"Kwiecien v. Poland, no. 51744/99, § 56, ECHR 2007-I"
"Özbek and Others v. Turkey, no 35570/02, 6 October 2009"
"Polonskiy v. Russia, no. 30033/05, 19 March 2009"
"Cvetkovic v. Serbia, no. 17271/04, § 41, 10 June 2008"
"Barankevich v. Russia, no.10519/03, 26 July 2007"
"Charalambous and Others v. Turkey (dec.), nos. 46744/07 et al., § 58, 1 June 2010"
"Orr v. Norway, no. 31283/04, 15 May 2008"
"Putz v. Austria, 22 February 1996, Reports of Judgments and Decisions 1996-I"
"X. v. the United Kingdom, no 9702/82, Commission decision of 6 October 1982"
"Hugh Jordan c. the United Kingdom, no 24746/94, ECHR 2001-III"
"Weh and Weh v. Austria (dec.), no. 38544/97, 4 July 2002"
"Gautrin and Others v. France, 20 May 1998, § 58, Reports 1998-III"
"Aktas Elektrik Ticaret A.S v. Turkey (dec.), no 44205/02, 30 August 2011"
"M.G. and M.T.A. v. Italy (dec.), no 17421/02, 28 June 2005"
"De Cubber v. Belgium 26 October 1984, Series A no. 86, § 33"
"No. 9394/82 </sites/eng/Pages/search.aspx>, (unpublished)"
"Hadjianastassiou v. Greece, 16 December 1992, § 45 in fine, Series A no 252"
"Yürekli v. Turkey, no. 48913/99, §§ 30-32, 17 July 2008"
"Valašinas v. Lithuania, no. 44558/98, §§ 103 and 107, 24 July 2001"
"Soering v. the United Kingdom, 7 July 1989, § 100, Series A no. 161"
"Wloch v. Poland (dec.), no 27785/95, 30 March 2000"
"Mahmut Kaya v. Turkey, no. 22535/93, § 115, ECHR 2000-III"
"Mirolubovs and Others v. Latvia, no 798/05, § 64, 15 September 2009"
"Ignaccolo-Zenide v. Romania, no. 31679/96, § 102, ECHR 2000-I"
"Cihan Öztürk v. Turkey, no. 17095/03, § 33, 9 June 2009"
"D.P. and J.C. v. the United Kingdom, no. 38719/97, § 118, 10 October 2002"
"Costiniu v. Romania (dec.), no. 22016/10, 19 February 2013"
"Iliya Stefanov v. Bulgaria, no. 65755/01, § 74, 22 May 2008"
7052/75
"Krombach v. France, no. 29731/96, §§ 96 et seq., ECHR 2001-II"
"Paladi v. Moldova [GC], no. 39806/05, § 72, 10 March 2009"
"Kaftailova v. Latvia, (striking out) [GC], no. 59643/00, 7 December 2007"
"Bogdanovski v. Italy, no. 72177/01, §§ 60-64, 14 December 2006"
"Mastromatteo v. Italy [GC], no 37703/97, ECHR 2002-VIII"
"Eckle v. Germany, 15 July 1982, §§ 69 and seq., Series A no 51"
"Doran v. Ireland, no 50389/99, § 57, ECHR 2003-X"
"De Wilde, Ooms and Versyp v. Belgium, 18 June 1971, §§ 73-76, Series A no 12"
"Troubnikov v. Russia, no 49790/99, 5 July 2005, § 67"
"Navarra v. France, 23 November 1993, Series A no. 273-B"
"Guenat v. Switzerland, no. 24722/94, Commission decision of 10 April 1995, Decisions and Reports (DR) 81, p. 134"
"Winterwerp v. the Netherlands, 24 October 1979, § 37, Series A no. 33"
"Mitterrand v. France (dec.), no 39344/04, 7 November 2006"
"Kamer Demir and Others c. Turkey, no 41335/98, §§ 42-50, 19 October 2006"
"Ðukic v. Bosnia and Herzegovina, no. 4543/09, § 33, 19 June 2012"
"Malone v. the United Kingdom, 2 August 1984, § 64, Series A no 82"
"Serife Yigit v. Turkey [GC], no. 3976/05, §§ 52-53, 2 November 2010"
"Worm v. Austria (dec.), no 22714/93, 27 November 1995"
"Hannu Lehtinen v. Finland, no. 32993/02, § 48, 22 July 2008"
"No. 5269/74, Dec. 8.2.72, Collection 39 p. 104"
"Stafford v. the United Kingdom [GC], no. 46295/99, § 63, ECHR 2002 IV"
"Kaburov v. Bulgaria (dec.), no. 9035/06, § 52, 19 June 2012"
"SARL du Parc d'activités de Blotzheim and SCI Haselaecker v. France (dec.), no. 48897/99, ECHR 2003 III"
"Malhous v. the Czech Republic [GC], no. 33071/96, 12 July 2001"
"A.B. v. the Netherlands, no. 37328/97, §§ 92 and 93, 29 January 2002"
"El Motassadeq v. Germany (dec.) no. 28599/07, 4 May 2010"
"Akdeniz and Others v. Turkey, no. 23954/94, §§ 118-121, 31 May 2001"
"Bendenoun v. France, 24 February 1994, § 46, Series A no 28"
"Viorel Burzo v. Romania, nos. 75109/01 and 12639/02, § 164, 30 June 2009"
"Velikova v. Bulgaria, no. 41488/98, § 68, ECHR 2000-VI"
"V.D. v. Romania, no 7078/02, 16 February 2010"
"X. v. the United Kingdom, no. 8873/80, Commission decision of 13 May 1982, D.R. 28, p. 99"
"Goodwin v. the United Kingdom, 27 March 1996, § 39, Reports 1996-II"
"Daktaras v. Lithuania, no. 42095/98, §§ 41-42, ECHR 2000-X"
"Stefan v. the United Kingdom, no. 29419/95, 9 December 1997"
"Gürkan v. Turkey (no 10987/10, §§ 13 to 19, 3 July 2012"
"Bayram and Yildirim v. Turkey (dec.), no. 38587/97, ECHR 2002-III"
"Salduz, cited above, § 72"
"Menesheva v. Russia, no. 59261/00, §§ 96-98, ECHR 2006-III"
"Demir and Baykara v. Turkey [GC], no. 34503/97, § 67, 12 November 2008"
"Gaweda v. Poland, no 26229/95, § 34, ECHR 2002-II"
"Mamatkoulov and Askarov c. Turkey [GC], nos. 46827/99 and 46951/99, § 70, ECHR 2005-I"
"Wagner and J.M.W.L. v. Luxembourg, no 76240/01, § 120, ECHR 2007-VII (extracts)"
"Nacaryan and Deryan v. Turkey (just satisfaction), nos. 19558/02 and 27904/02, § 19, 24 February 2009"
"Si Amer v. France, no 29137/06, § 22, 29 October 2009"
"S. and Marper v. the United Kingdom [GC], nos. 30562/04 and 30566/04, §§ 101-104, 4 December 2008"
"Daktaras v. Lithuania, no. 42095/98, § 41, ECHR 2000-X"
"Gaweda v. Poland, no. 26229/95, § 34, ECHR 2002-II"
"Svipsta v. Latvia, no. 66820/01, § 110, ECHR 2006-III (extracts)"
"Esa Jussila v. Finland (dec.), no. 73053/01, 9 November 2004"
"Weissman and Others v. Romania, no. 63945/00, §§ 39 to 42, ECHR 2006-VII"
"Allan v. the Uinted Kingdom (dec.), no. 48539/99, 28 August 2001"
"M. v. Germany, no. 10307/83, Commission decision of 6 March 1984, Decisions and Reports (DR) 37, p. 113"
"Makhmudov v. Russia, no. 35082/04, § 66, 26 July 2007"
"Aziyevy v. Russia, no. 77626/01, § 74, 20 March 2008"
"Sejdic and Finci v. Bosnia and Herzegovina [GC], nos. 27996/06 and 34836/06, § 27, 22 December 2009"
"Blumberga v. Latvia, no. 70930/01, § 67, 14 October 2008"
"Kraska v. Switzerland, judgment of 19 April 1993, Series A no. 254-B"
"Belvedere Alberghiera S.R.L. v. Italy, no 31524/96, ECHR 2000-VI"
"Anokhin v. Russia (dec.), 31 May 2007"
"Wettstein v. Switzerland, no. 33958/96, § 41, ECHR 2000-XII"
"Sunday Times v. the United Kingdom (no 1) (article 50), 6 November 1980, § 15, Series A no 38"
"Vincic and Others v. Serbia, nos. 44698/06, 44700/06, 44722/06, 44725/06, 49388/06, 50034/06, 694/07, 757/07, 758/07, 3326/07, 3330/07, 5062/07, 8130/07, 9143/07, 9262/07, 9986/07, 11197/07, 11711/07, 13995/07, 14022/07, 20378/07, 20379/07, 20380/07, 20515/07, 23971/07, 50608/07, 50617/07, 4022/08, 4021/08, 29758/07 and 45249/07, § 65, 1 December 2009"
"Salabiaku v. France, 7 October 1988, § 30, Series A no. 141-A"
"Labita v. Italy [GC], no. 26772/75/ § 119, ECHR 2000-IV"
"Petrov v. Bulgaria, no. 15197/02, § 55, 22 May 2008"
"E.B. v. France [GC], no. 43546/02, § 48, ECHR 2008-..."
"Verein gegen Tierfabriken Schweiz (VgT) v. Switzerland (no. 2) [GC], no. 32772/02, § 62, ECHR 2009"
"Sidiropoulos and Others v. Greece, 10 July 1998, § 29, Reports 1998-IV"
"Nenov v. Bulgaria, no. 33738/02, § 38, 16 July 2009"
"M. v. Germany, no. 13258/87, Commission decision of 9 February 1990, Decisions and Reports (DR) 64"
"Broniowski v. Poland (dec.) [GC], no. 31443/96, §§ 74 and 86, ECHR 2002-X"
"Piryanik v. Ukraine, no 75788/01 <http://hudoc.echr.coe.int/sites/eng/Pages/search.aspx>, §§ 19-20, 19 April 2005"
"Steel and Morris v. the United Kingdom, no. 68416/01, §§ 59-60, ECHR 2005-II"
"Forrer-Niedenthal v. Germany, no. 47316/99, § 39, 20 February 2003"
"E. v. Norway, 29 August 1990, § 50, Series A no 181"
"Holy Synod of the Bulgarian Orthodox Church (Metropolitan Inokentiy) and Others v. Bulgaria (nos 412/03 and 35677/04, 22 January 2009"
"Tekin Yildiz v. Turkey, no 22913/04, 10 November 2005"
"Vaturi v. France, no 75699/01, §§ 53 and 54, 13 April 2006"
"Ellès and Others v. Switzerland, no. 12573/06, § 26, 16 December 2010"
"Timurtas v. Turkey, no. 23531/94, § 89, ECHR 2000-VI"
"Savas v. Turkey, no 9762/03, § 70, 8 December 2009"
"Sürmeli v. Germany ([GC], no. 75529/01, ECHR 2006-VII"
"Yuriy Nikolayevich Ivanov v. Ukraine, no. 40450/04, §§ 90-92, ECHR 2009-... (extracts)"
"Van Oosterwijck v. Belgium, 6 November 1980, §§ 36-40, Series A no 40"
"Timishev v. Russia, nos. 55762/00 and 55974/00, § 58, ECHR 2005-XII"
"Samüt Karabulut v. Turkey, no. 16999/04, § 35, 27 January 2009"
"Siliadin v. France, no. 73316/01, § 61, ECHR 2005-VII"
"Calvelli and Ciglio v. Italy [GC], no. 32967/96, § 51, ECHR 2002-IVo v. France [GC], no. 53924/00, § 90, ECHR 2004-VIII"
"Lukenda v. Slovenia, no. 23032/02, 6 October 2005"
"Dombo Beheer B.V. v. the Netherlands, 27 October 1993, §§ 32-33, Series A no. 274"
"Éva Molnár c. Hungary, no 10346/05, § 42, 7 October 2008"
"Schmid v. Austria, no. 11831/85, Commission decision of 9 December 1987, Decisions and Reports (DR) 54, p. 144"
"Lapusan and Others v. Romania, nos. 29007/06, etc., § 59, 8 March 2011"
"Nejdet Sahin and Perihan Sahin v. Turkey [GC], no 13279/05, §§ 49-58, 20 October 2011"
"Forum Maritime S.A. c. Romania, nos. 63610/00 and 38692/05, § 88, 4 October 2007"
"Süheyla Aydin v. Turkey, no. 25660/94, § 208, 24 May 2005"
"Vitrenko v. Ukraine (dec.), no 23510/02, 16 December 2008"
"Marcic and Others v. Serbia, no 17556/05, § 56, 30 October 2007"
"Gebremedhin v. France, no 25389/05, § 53, ECHR 2007-II"
"Women On Waves and Others v. Portugal, no 31276/05, § 42, ECHR 2009-..."
"Dabrowski v. Poland, no. 18235/02, § 35, 19 December 2006"
"Somogyi v. Italy, no 67972/01, § 86, ECHR 2004-IV"
"Bulves AD v. Bulgaria, no. 3991/03, § 63, 22 January 2009"
"Eriksson judgment of 22 June 1989, Series A no. 156, pp. 24, 26 at paras. 58, 59, 62, 71"
"Raidl v. Austria, no. 25342/94, Commission decision of 4 September 1995"
"Khvichia and Others v. Georgia (dec.), no. 26446/06, 23 June 2009"
"Klass and Others v. Germany, 6 September 1978, §§ 33 and 38, Series A no. 28"
"Fairfield v. the United Kingdom (dec.), no. 24790/04, ECHR 2005-VI"
"Leela Förderkreis e.V. and Others v. Germany, no. 58911/00, §§ 59 - 66, 6 November 2008"
"Hans-Joachim Enders v. Germany, no. 25040/94, Commission decision of 12 April 1996"
"Hamer v. Belgium, no. 21861/03, § 79, ECHR 2007 XIII (extracts)"
"Baysayeva v. Russia, no. 74237/01, 5 April 2007"
"M.V. and U-M.S. v. Finland (dec.), no. 43189/98, 28 January 2003"
"Loizidou v. Turkey (preliminary objections), 23 March 1995, § 89, Series A no. 310"
"Ramanauskas v. Lithuania [GC], no. 74420/01, ECHR 2008"
"De Wilde, Ooms and Versyp v. Belgium, 18 June 1971, §§ 89-90, Series A no. 12"
"Cyprus v. Turkey [GC], no 25781/94, § 132, ECHR 2001-IV"
"Albina v. Romania, 28 April 2005, no. 57808/00, § 34"
"Zarb Adami v. Malta, no. 17209/02, § 44, ECHR 2006-VIII"
"Hoogendijk v. the Netherlands (dec.), no. 58461/00, 6 January 2005"
"Imakayeva v. Russia, no. 7615/02, § 116, ECHR 2006-XIII (extracts)"
"Labita v. Italy [GC], no. 26772/95, § 155, ECHR 2000-IV"
"Panoussi v. Greece, no 33057/08, 22 April 2010"
"McKerr v. the United Kingdom, no. 28883/95, ECHR 2001-III"
"Yuriy Nikolaïevich Ivanov v. Ukraine, no. 40450/04, § 63, ECHR 2009 (extracts)"
"Maire v. Portugal, no. 48206/99, § 74, 26 June 2003"
"Rangelov and Stefanov v. Bulgaria, no. 23240/04, §§ 5 and 14, 1 April 2010"
"Mikhaniv v. Ukraine (dec.), no. 75522/01, 20 May 2008"
"Labita v. Italy ([GC], no 26772/95, § 131, ECHR 2000-IV"
"Kucherenko v. Unkraine, (dec.) no. 41974/98, 4 May 1999"
"Z. and Others v. the United Kingdom [GC], no. 29392/95, §§ 91-93, ECHR 2001-V"
"Winterwerp judgment of 24 October 1979, pp. 16, 18 paras. 37, 39"
"Stefan and Stef v. Romania, nos. 24428/03 and 26977/03, §§ 33-36, 27 January 2009"
"Erkner and Hofauer v. Austria, 23 April 1987, Series A no 117"
"Spînu v. Romania, no. 32030/02, § 58, 29 April 2008"
"M.C. v. Bulgaria, no. 39272/98, §§ 150 and 152, ECHR 2003-XII"
"No. 10564/83, Dec"
"Hurtado v. Switzerland, 28 January 1994, § 79, Series A no. 280-A"
"Eyüp Kaya v. Turkey, no. 17582/04, §§ 22-26, 23 September 2008"
"Gäfgen v. Germany [GC], no. 22978/05, §§ 162-88, ECHR 2010-..."
"Fedosov v. Russia (dec.), no. 42237/02, 25 January 2007"
"Vilvarajah and Others c. the United Kingdom, 30 October 1991, § 107, Series A no 215"
"Labita v. Italy [GC], no 26772/95, § 119, ECHR 2000-IV"
"Raninen v. Finland, 16 December 1997, § 41, Reports 1997-VIII"
"Koval v. Ukraine, no. 65550/01, § 82, 19 October 2006"
"Švarc and Kavnik v. Slovenia, no. 75617/01, §§ 15 and 16, 8 February 2007"
"Brumarescu v. Romania (just satisfaction) [GC], no 28342/95, § 20, ECHR 2001-I"
"Akkoç v. Turkey, nos 22947/93 and 22948/93, §§ 55 and 118, ECHR 2000-X"
"Sidabras and Džiautas v. Lithuania, nos. 55480/00 and 59330/00, § 43, ECHR 2004-VIII"
"Marionneau and Association Française des Hémophiles v. France, no 77654/01, 25 April 2002"
"Isgrò v. Italy, judgment of 19 February 1991, § 34, Series A no. 194 A"
"Ratajczyk v. Poland (dec.), no. 11215/02, ECHR 2005-VIII"
"Moskalyuk v. Russia, no. 3267/03, § 44, 14 January 2010"
"Masson and Van Zon v. the Netherlands, 28 September 1995, Series A no. 327-A"
"Vides Aizsardzibas Klubs v. Latvia, no. 57829/00, § 42, 27 May 2004"
"Çelik v. Turkey (no 3), no 36487/07, § 78, 15 November 2012"
"Kayasu v. Turkey, nos. 64119/00 and 76292/01, 13 November 2008"
"Mamatkulov and Askarov v. Turkey ([GC], nos. 46827/99 and 46951/99, § 92 et seq., ECHR 2005-..."
"B. v. the Federal Republic of Germany, Comm. Report of 13.11.87, paras. 113/114"
"Wieser and Bicos Beteiligungen GmbH v. Austria, no 74336/01"
"Kelly and Others v. the United Kingdom, no 30054/96, §§ 96-97, 4 May 2001"
"D.H. and Others v. the Czech Republic [GC], no. 57325/00, ECHR 2007 XII"
"Einhorn v. France (dec.), no 71555/01, § 33, ECHR 2001-XI"
"Bayer v. Germany, no 8453/04, § 38, 16 July 2009"
"Opuz v. Turkey, no. 33401/02, § 132, ECHR 2009"
"Mooren v. Germany [GC], no. 11364/03, § 84, ECHR 2009-..."
"Cumpana and Mazare v. Romania [GC], no 33348/96, § 111 and § 114, ECHR 2004-XI"
"Barantseva v. Russia, no. 22721/04, § 47, 4 March 2010"
"Guja v. Moldova [GC], no 14277/04, ECHR 2008"
"McLeod v. the United Kingdom, judgment of 23 September 1998, Reports of Judgments and Decisions 1998-VII, p. 2791, § 52"
"Verein gegen Tierfabriken Schweiz (VgT) v. Switzerland (no. 2) [GC], no. 32772/02, ECHR 2009-..."
"Chapman v. the United Kingdom [GC], no. 27238/95, § 70, ECHR 2001-I"
"Oleksiy Mykhaylovych Zakharkin v. Ukraine, no. 1727/04, §§ 71-73, 24 June 2010"
"Pham Hoang v. France, 25 September 1992, § 33, Series A no. 243"
"Radchikov v. Russia, no. 65582/01, 24 May 2007"
"Mantovanelli v. France, 18 March 1997, § 34, Reports 1997-II"
"Dedovskiy and Others v. Russia, no. 7178/03, § 74, 15 May 2008"
"Mann v. Portugal and the United Kingdom (dec.), no. 360/10, 1 February 2011"
"Walsh v. the United Kingdom (dec.), no. 43384/05, 21 November 2006"
"Juhas Ðuric v. Serbia, no. 48155/06, § 72, 7 June 2011"
"Salduz v. Turkey [GC], no. 36391/02, §§ 54-55, ECHR 2008"
"Conka v. Belgium, no. 51564/99, §§ 81-83, ECHR 2002-I"
"Berdzenishvili v. Russia (dec.), no. 31697/03, 29 January 2004"
"E. v. Norway, 29 August 1990, § 50, Series A no. 181"
"Pellegriti v. Italy ((dec.)), no. 77363/01, 26 May 2005"
"Indra v. Slovakia, no. 46845/99, §§ 51-53, 1er February 2005"
"Pullar v. the United Kingdom, 10 June 1996, §§ 30, 36-41, Reports 1996-III"
"Berrehab v. the Netherlands, 21 June 1988, § 21, Series A no. 138"
"Bati and Others v. Turkey, nos. 33097/96 and 57834/00, ECHR 2004-IV (extracts)"
"Benham v. the United Kingdom, 10 June 1996, Reports 1996-III"
"Jankov v. Germany (dec.), no. 35112/97, 13 January 2000"
"Miguel Cereceda Martin and Others v. Spain, no 16358/90, decision of the Commission du 12 October 1992, Decisions and Reports (DR) 73, p. 120"
"Streletz, Kessler and Krenz v. Germany [GC], nos. 34044/96, 35532/97 and 44801/98, §§ 80-81, ECHR 2001-II"
"Jorgic v. Germany, no. 74613/01, ECHR 2007-III (extracts)"
"Ergin v. Turkey (no 6), no 47533/99, § 40, ECHR 2006-VI"
"Mahmut Kaya v. Turkey, no. 22535/93, § 86, ECHR 2000-III"
"D. v. the United Kingdom, 2 May 1997, Reports 1997-III"
"Hutten Czapska v. Poland [GC], no. 35014/97, ECHR 2006-VIII"
"Saadi v. Italy [GC], no. 37201/06, §§ 124-148, ECHR 2008"
"Rohde v. Denmark, no 69332/01, § 93, 21 July 2005"
"Burden v. the United Kingdom [GC], no. 13378/05, 29 April 2008"
"García Ruiz v. Spain [GC], no 30544/96, ECHR 1999-I"
"Yasa v. Turkey, 2 September 1998, § 74, Reports of Judgments and Decisions 1998-VI"
"Baghli v. France, no 34374/97, § 48, ECHR 1999-VIII"
"Association 21 December 1989 and Others v. Romania, nos. 33810/07 and 18817/08, § 194, 24 May 2011"
"Tahsin Acar v. Turkey [GC], no. 26307/95, § 225, ECHR 2004 III"
"Belevitskiy v. Russia, no. 72967/01, §§ 59-60, 1 March 2007"
"Jussy v. France, no. 42277/98, § 18, 8 April 2003"
"Van Kück v. Germany, no. 35968/97, §§ 47-48, ECHR 2003-VII"
"Gaceša v. Croatia (dec.), no. 43389/02, 1 April 2008"
"Tănase v. Moldova [GC], no. 7/08, § 122, ECHR 2010"
"Civet v. France [GC] du 28 September 1999, no 29340/95, ECHR 1999-VI"
"Bozano v. France, 18 December 1986, §§ 55-60, Series A no. 111"
"De Jorio v. Italy, no. 73936/01, § 45, 3 June 2004"
"Usta and Others v. Turkey, no. 57084/00, §§ 51-61, 21 February 2008"
"Eur. Court H.R. Le Compte, Van Leuven, De Meyere judgment of 23 June 1981, Series A no. 43, p. 25 para. 58"
"Khudoyorov v. Russia, no. 6847/02, ECHR 2005-X (extracts)"
"Sablon v. Belgium, no. 36445/97, § 86, 10 April 2001"
"Karakullukçu v. Turkey, no. 49275/99, §§ 27-28, 22 November 2005"
"Pay v. the United Kingdom (dec.), no. 32792/05, 16 September 2008)"
"Puscasu v. Germany (dec.), no. 45793/07, 29 September 2009"
"Mathew v. the Netherlands, no. 24919/03, § 180, ECHR 2005"
"Ezeh and Connors v. the United Kingdom [GC], nos. 39665/98 and 40086/98, § 82, ECHR 2003 X"
"Hazar and Others v. Turkey (dec.), nos. 62566/00, 62567/00, 62568/00, 62569/00, 62570/00, 62571/00, 62572/00, 62573/00, 62574/00, 62575/00, 62576/00, 62577/00, 62579/00, 62580/00, 62581/00, 10 January 2002"
"Kwiatkowska v. Italy (dec.), no 52868/99, 30 November 2000"
"Öcalan v. Turkey [GC], no. 46221/99, ECHR 2005-IV"
"Doronin v. Ukraine, no. 16505/02, 19 February 2009"
"Wingrove v. the United Kingdom, judgment of 25 November 1996, Reports of Decisions and Judgments 1996-V, § 58"
"Eugen Gabriel Radu v. Romania, no 3036/04, §§ 23-24, 13 October 2009"
"Teresa Kowalczyk v. Poland, no. 23987/05, § 43, 11 October 2011"
"Dickson v. the United Kingdom [GC], no. 44362/04, § 81, ECHR 2007-XIII"
"Kaufmann c. Italy, no 14021/02, § 33, 19 May 2005"
"Peers v. Greece, no 28524/95, § 74, ECHR 2001-III"
"McCann and Others v. the United Kingdom, 27 September 1995, §§ 146-50, Series A no. 324"
"Göktan v. France, no. 33402/96, §§ 48 and 51, ECHR 2002-V"
"Rahbar-Pagard v. Bulgaria, no.s 45466/99 and 29903/02, 6 April 2006"
"Eryk Kozlowski v. Poland, no. 12269/02, § 77, 4 November 2008"
"De Geouffre de la Pradelle v. France, 16 December 1992, § 33, Series A no 253-B"
"Mahmudov and Agazade v. Azerbaijan, no. 35877/04, § 44, 18 December 2008"
"Pandy v. Belgium, no 13583/02, § 45, 21 September 2006"
"Cambal v. the Czech Republic, no 22771/04, § 33 in fine, 21 February 2006"
"Steck-Risch and Others v. Liechtenstein, no 63151/00, § 39, 19 May 2005"
"Yang Chun Jin alias Yang Xiaolin v. Hungary (striking out), no. 58073/00, §§ 20-23, 8 March 2001"
"Stedman v. the United Kingdom, Commission’s decision of 9 April 1997"
"Sotiris and Nikos Koutras ATTEE v. Greece, no 39442/98, § 19, ECHR 2000-XII"
"Tolstoy Miloslavsky v. the United Kingdom, 13 July 1995, § 77, Series A no. 316-B"
